1467331200000,16
1470009600000,7
1472688000000,5
1475280000000,31961
1477958400000,26210
1480550400000,14900
1483228800000,11938
1485907200000,10838
1488326400000,9858
1491004800000,9227
1493596800000,9843
1496275200000,9760
1498867200000,10818
1501545600000,9879
1504224000000,14059
1506816000000,13795
1509494400000,15626
1512086400000,13694
1514764800000,12543
1517443200000,12820
1519862400000,14703
1522540800000,11054
1525132800000,10384
1527811200000,13375
1530403200000,12948
1533081600000,16444
1535760000000,18233
1538352000000,13832
1541030400000,12830
1543622400000,6266
1546300800000,4402
1548979200000,4135
1551398400000,3865
1554076800000,3693
1556668800000,3502
1559347200000,3247
1561939200000,3599
1564617600000,3299
1567296000000,3861
1569888000000,3510
1572566400000,3225
1575158400000,3103
1577836800000,2958
1580515200000,2420
1583020800000,3432
1585699200000,3204
1588291200000,2780
1590969600000,2059
1593561600000,1962
1595116800000,1823
1595203200000,1679
1595289600000,1633
1595376000000,1654
1595462400000,1629
1595548800000,1640
1595635200000,1671
1595721600000,1962
1595808000000,1761
1595894400000,1691
1595980800000,1681
1596067200000,1712
1596153600000,1592
1596240000000,1667
1596326400000,2033
1596412800000,1970
1596499200000,1871
1596585600000,1749
1596672000000,1611
1596758400000,1536
1596844800000,1525
1596931200000,1794
1597017600000,1671
1597104000000,1656
1597190400000,1555
1597276800000,1603
1597363200000,1554
1597449600000,1648
1597536000000,1927
1597622400000,1743
1597708800000,1711
1597795200000,1750
1597881600000,1624
1597968000000,1540
1598054400000,1726
1598140800000,2029
1598227200000,1750
1598313600000,1761
1598400000000,1755
1598486400000,1776
1598572800000,1661
1598659200000,1792
1598745600000,2004
1598832000000,1759
1598918400000,1697
1599004800000,1598
1599091200000,1669
1599177600000,1552
1599264000000,1694
1599350400000,1996
1599436800000,1856
1599523200000,1668
1599609600000,1615
1599696000000,1626
1599782400000,1580
1599868800000,1719
1599955200000,1906
1600041600000,1616
1600128000000,1615
1600214400000,1594
1600221813000,657
1600225382000,559
1600229000000,500
1600232575000,492
1600236107000,549
1600239694000,597
1600243294000,730
1600246899000,801
1600250514000,859
1600254097000,916
1600257839000,978
1600261384000,1096
1600264963000,1257
1600268591000,1340
1600272228000,1440
1600275775000,1580
1600279422000,1594
1600282996000,1553
1600286669000,1267
1600290241000,1010
1600293799000,828
1600297426000,756
1600300997000,707
1600304621000,666
1600308180000,597
1600311759000,542
